year,month,day,event,isHoliday
1396,1,1,جشن نوروز,1
1396,1,1,روز جهانی شعر,0
1396,1,2,عیدنوروز,1
1396,1,2,روز جهانی آب,0
1396,1,3,عیدنوروز,1
1396,1,3,درگذشت فریدریش آوگوست فون هایک  قتصاددان و فیلسوف سیاسی، برندهٔ جایزه نوبل اقتصاد سال ۱۹۷۴,0
1396,1,4,عیدنوروز,1
1396,1,4,درگذشت اسماعیل ادیب خوانساری موسیقیدان ایرانی,0
1396,1,4,زادروز پیتر دبای دانشمند هلندی، برندهٔ جایزه نوبل شیمی سال ۱۹۳۶ میلادی,0
1396,1,6,روز امید، روز شادباش نویسی,0
1396,1,6,زادروز آشو زرتشت، اَبَراِنسان بزرگ تاریخ,0
1396,1,6,زادروز لری پیج کارآفرین و مبتکر آمریکایی، بنیانگذار شرکت گوگل مدیر عامل اجرایی گوگل,0
1396,1,6,درگذشت لودویگ فان بتهوون موسیقی‌دان برجستهٔ آلمانی,0
1396,1,7,روز جهانی تئاتر,0
1396,1,8,درگذشت ویرجینیا وولف، رمان‌نویس، مقاله‌نویس، ناشر، منتقد و فمینیست انگلیسی,0
1396,1,10,جشن آبانگاه,0
1396,1,10,ولادت  امام محمد باقر علیه السلام,0
1396,1,10,درگذشت فریدریش برژیوس شیمیدان آلمانی، برندهٔ جایزه نوبل شیمی سال ۱۹۳۱,0
1396,1,11,برج ایفل در پاریس بطور رسمی گشایش یافت.,0
1396,1,12,روز جمهوری اسلامی,1
1396,1,12,شهادت امام علی النقی الهادی علیه السلام,0
1396,1,13,جشن سیزده به در,1
1396,1,13,درگذشت علی‌اکبر صنعتی نقاش و مجسمه‌ساز ایرانی,0
1396,1,13,روز جهانی کتاب کودک,0
1396,1,13,روز جهانی اطلاع‌رسانی دربارهٔ بیماری اوتیسم,0
1396,1,14,زادروز ابوالحسن صبا موسیقیدان، آهنگساز و نوازندهٔ سرشناس ایرانی,0
1396,1,14,درگذشت یوهانس برامس موسیقی‌دان بزرگ آلمانی,0
1396,1,15,درگذشت پروین اعتصامی,0
1396,1,15,گشایش رسمی مرکز تجارت جهانی,0
1396,1,15,درگذشت ویلهلم اوستوالد شیمیدان آلمانی، برنده جایزه نوبل شیمی سال ۱۹۰۹,0
1396,1,17,سروش روز،جشن سروشگان,0
1396,1,17,درگذشت توماسو آلبینونی آهنگساز ایتالیایی,0
1396,1,17,زاد روز هورست لودویگ اشتورمر فیزیکدان آلمانی، برندهٔ جایزه نوبل فیزیک سال ۱۹۹۸,0
1396,1,17,زاد روز جیمز واتسون ،زیست‌فیزیکدان و متخصّص علم ژنتیک آمریکایی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۶۲,0
1396,1,18,روز جهانی بهداشت,0
1396,1,19,فروردین روز،جشن فروردینگان,0
1396,1,19,ولادت امام محمد تقی علیه السلام,0
1396,1,19,درگذشت پابلو پیکاسو  نقاش، شاعر، طراح صحنه، پیکرتراش، گراورساز و سرامیک‌کار اسپانیایی، از بنیانگذاران سبک کوبیسم,0
1396,1,19,درگذشت اریک آکسل کارلفلدت شاعر نمادگرای سوئدی، برندهٔ جایزه نوبل ادبیات سال ۱۹۳۱,0
1396,1,20,درگذشت فرانسوا رابله ادیب، پزشک و نویسنده بزرگ رنسانس فرانسه,0
1396,1,21,درگذشت جبران خلیل جبران نویسنده سرشناس لبنان و آمریکا، خالق اثر مشهور پیامبر,0
1396,1,21,زادروز جوزف پولیتزر روزنامه‌نگار معروف آمریکایی و بنیانگذار جایزه ادبی پولیتزر,0
1396,1,22,ولادت امام علی علیه السلام و روز پدر,1
1396,1,22,زادروز آدلاید لابلی گویارد نقاش فرانسوی,0
1396,1,23,روز دندانپزشک,0
1396,1,23,زادروز یان تینبرگن اقتصاددان، برنده جایزه نوبل اقتصاد سال ۱۹۶۹,0
1396,1,23,درگذشت ایگور یوگنیویچ تام فیزیکدان و ریاضی‌دان روسی، برنده جایزه نوبل فیزیک سال ۱۹۵۸,0
1396,1,24,وفات حضرت زینب سلام الله علیها,0
1396,1,24,درگذشت جان ویلر فیزیکدان آمریکایی، از پیشگامان فیزیک هسته‌ای,0
1396,1,25,روز بزرگداشت عطار نیشابوری,0
1396,1,25,کشتی مسافربر تایتانیک با ۲۲۰۰ مسافر و خدمه در حوالی کانادا غرق شد.,0
1396,1,25,درگذشت جرج فردریک هندل آهنگساز آلمانی,0
1396,1,26,زاد روز لئوناردو داوینچی دانشمند، نقاش، مجسمه‌ساز و معمار نامدار ایتالیایی,0
1396,1,26,درگذشت میخاییل لومونسف نویسنده و دانشمند روسی,0
1396,1,27,زادروز چارلی چاپلین کمدین مشهور، کارگردان و آهنگساز برجستهٔ هالیوود، برندهٔ جایزه اسکار,0
1396,1,27,درگذشت یاسوناری کاواباتا نویسنده ژاپنی، برندهٔ جایزه ادبیات نوبل,0
1396,1,28,درگذشت بنجامین فرانکلین ، دانشمند، نویسنده، ناشر، روزنامه‌نگار، سیاستمدار و دیپلمات دوران انقلاب استقلال آمریکا,0
1396,1,28,درگذشت هنریک کارل پیتر دام زیست‌شناس و شیمیدان برندهٔ جایزه نوبل پزشکی ۱۹۴۳ از دانمارک,0
1396,1,29,روز ارتش جمهوری اسلامی ایران,0
1396,1,29,روز جهانی میراث فرهنگی,0
1396,1,30,روز علوم آزمایشگاهی، زاد روز حکیم سید اسماعیل جرجانی,0
1396,1,30,درگذشت پی‌یر کوری فیزیکدان فرانسوی، برندهٔ جایزه نوبل فیزیک سال۱۹۰۳ به همراه ماری کوری,0
