number,id,city,city-fa,country-sh,country,
0,819827,Razvilka,رازویلکا,RU,Russia,
1,524901,Moscow,مسکو,RU,Russia,
2,1271881,Firozpur Jhirka,فیروزپور جهیرکا,IN,India,
3,1283240,Kathmandu,کاتماندو,NP,Nepal,
4,703448,Kiev,کیف,UA,Ukraine,
5,1282898,Pokhara,پوخارا,NP,Nepal,
6,3632308,Merida,مریدا,VE,Venezuela,
7,1273294,Delhi,دهلی,IN,India,
8,502069,Reshetnikovo,Reshetnikovo,RU,Russia,
9,3645532,Ciudad Bolivar,سیوداد بولیوار,VE,Venezuela,
10,529368,Marfino,مارفینو,RU,Russia,
11,462755,Zhukovskiy,ژوکوفسکی,RU,Russia,
12,502018,Reutov,روتوف,RU,Russia,
13,538601,Kurovskoye,کوروفسکوی,RU,Russia,
14,463355,Zheleznodorozhnyy,Zheleznodorozhnyy,RU,Russia,
15,560756,Golitsyno,گولیتسینو,RU,Russia,
16,509820,Petrozavodsk,پتروزاوودسک,RU,Russia,
17,498817,Saint Petersburg,سن پترزبورگ,RU,Russia,
18,547560,Klimovsk,کلیموفسک,RU,Russia,
19,1496747,Novosibirsk,نووسیبیرسک,RU,Russia,
20,709717,Donetsk,دونتسک,UA,Ukraine,
21,555746,Istra,استرا,RU,Russia,
22,712969,Bakhchysaray,بخچای سارای,nan,nan,
23,569591,Chekhov,چخوف,RU,Russia,
24,532477,Lyubuchany,لیوبوچانی,RU,Russia,
25,471457,Vostryakovo,وستریاکووو,RU,Russia,
26,711660,Boryspil,بوریسپیل,UA,Ukraine,
27,564719,Dubna,دوبنا,RU,Russia,
28,564912,Druzhba,دروژبا,RU,Russia,
29,571557,Bronnitsy,برونیتسی,RU,Russia,
30,563705,Dzerzhinskiy,Dzerzhinskiy,RU,Russia,
31,532657,Lytkarino,لیتکارینو,RU,Russia,
32,523812,Mytishchi,میتیشچی,RU,Russia,
33,503977,Pushkino,پوشکینو,RU,Russia,
34,505597,Pravdinskiy,Pravdinskiy,RU,Russia,
35,463826,Zelenogradskiy,Zelenogradskiy,RU,Russia,
36,580597,Ashukino,اشوکینو,RU,Russia,
37,549373,Khotkovo,خوتکوو,RU,Russia,
38,497165,Semkhoz,سمخوز,RU,Russia,
39,496638,Sergiyev Posad,سرگیف پوساد,RU,Russia,
40,580881,Arsaki,ارساکی,RU,Russia,
41,487095,Strunino,استرونینو,RU,Russia,
42,583350,Aleksandrov,الكساندرف,RU,Russia,
43,552977,Karabanovo,کارابانوو,RU,Russia,
44,548278,Kirzhach,کرزاچ,RU,Russia,
45,515024,Orekhovo-Zuyevo,Orekhovo-Zuyevo,RU,Russia,
46,535243,Likino-Dulevo,لیکینو-دولوو,RU,Russia,
47,566950,Davydovo,داویدوو,RU,Russia,
48,557132,Ilinskiy Pogost,ایلینکی پوگوست,RU,Russia,
49,468250,Yegoryevsk,یگوریفسک,RU,Russia,
50,562445,Fosforitnyy,Fosforitnyy,RU,Russia,
51,549531,Khorlovo,خرولوو,RU,Russia,
52,534174,Lopatinskiy,لوپاتینسیکی,RU,Russia,
53,531098,Malino,مالینو,RU,Russia,
54,526652,Mikhnevo,میخنوو,RU,Russia,
55,526651,Mikhnevo,میخنوو,RU,Russia,
56,487441,Stolbovaya,استولبوایا,RU,Russia,
57,540030,Kubinka,کوبینکا,RU,Russia,
58,505824,Povarovo,پوواروو,RU,Russia,
59,557382,Iksha,ایکشا,RU,Russia,
60,565955,Dmitrov,دیمیتروف,RU,Russia,
61,492333,Skoropuskovskiy,اسکوروپوسکوفسکی,RU,Russia,
62,529638,Mamontovka,مامونتووکا,RU,Russia,
63,694320,Shchebetovka,شچبتووکا,UA,Ukraine,
64,1261481,New Delhi,دهلی نو,IN,India,
65,1271951,Faridabad,فریداباد,IN,India,
66,1260637,Palwal,پالوال,IN,India,
67,1270000,Hodal,هودال,IN,India,
68,1266073,Kosi,کوسی,IN,India,
69,1274343,Chhata,چاتا,IN,India,
70,1263364,Mathura,ماتورا,IN,India,
71,1271059,Gokul,گوکول,IN,India,
72,1271956,Farah,فرح,IN,India,
73,1279259,Agra,اگرا,IN,India,
74,1266510,Kiraoli,کیرائولی,IN,India,
75,1271900,Fatehpur Sikri,فاتح پور سیکری,IN,India,
76,1276128,Bharatpur,بهاراتپور,IN,India,
77,1264323,Mahwah,مهوا,IN,India,
78,1273369,Dausa,داوسا,IN,India,
79,1276767,Basi,باسی,IN,India,
80,1269515,Jaipur,جیپور,IN,India,
81,1263649,Manoharpur,منوهارپور,IN,India,
82,1256705,Shahpura,شاهپورا,IN,India,
83,3645528,Ciudad Guayana,سیوداد گویانا,VE,Venezuela,
84,3625710,Upata,اوپاتا,VE,Venezuela,
85,572090,Borovoy,بورووی,RU,Russia,
86,471501,Vostochnyy,ووستوچنی,RU,Russia,
87,3641099,El Vigia,ال ویگیا,VE,Venezuela,
88,3644417,Ejido,اجیدو,VE,Venezuela,
89,473021,Vnukovo,ونوکووو,RU,Russia,
90,516436,Obninsk,اوبنینسک,RU,Russia,
91,524649,Mstikhino,مستخینو,RU,Russia,
92,579838,Babynino,بابینو,RU,Russia,
93,523186,Navlya,ناولیا,RU,Russia,
94,582358,Altukhovo,التوخوو,RU,Russia,
95,546633,Kokorevka,کوکوروکا,RU,Russia,
96,485817,Suzemka,سوزمکا,RU,Russia,
97,709584,Druzhba,دروژبا,UA,Ukraine,
98,688501,Yampil,یامپیل,UA,Ukraine,
99,711999,Bobrovytsya,Bobrovytsya,UA,Ukraine,
100,550280,Khimki,خیمکی,RU,Russia,
101,542374,Krasnogorsk,کراسنوگورسک,RU,Russia,
102,522730,Nemchinovka,نمچینووکا,RU,Russia,
103,476372,Vatutinki,واتوتینکی,RU,Russia,
104,468671,Yasnogorsk,یاسنوگورسک,RU,Russia,
105,464343,Zasechnoye,Zasechnoye,RU,Russia,
106,500400,Russkiy Kameshkir,روسیکی کامشکیر,RU,Russia,
107,582926,Alekseyevka,الکسی یوکا,RU,Russia,
108,608668,Oral,دهانی,KZ,Kazakhstan,
109,610386,Bayganin,بایگانین,KZ,Kazakhstan,
110,1265961,Kotputli,کوتوتلی,IN,India,
111,1276589,Behror,بهرور,IN,India,
