year,month,day,event,isHoliday
1403,1,1,جشن نوروز,0
1403,1,1,روز جهانی شادی,0
1403,1,2,عیدنوروز,0
1403,1,2,روز جهانی شعر,0
1403,1,3,عیدنوروز,0
1403,1,3,روز جهانی آب,0
1403,1,4,عیدنوروز,0
1403,1,4,درگذشت فریدریش آوگوست فون هایک  قتصاددان و فیلسوف سیاسی,0
1403,1,5,درگذشت اسماعیل ادیب خوانساری موسیقیدان ایرانی,0
1403,1,5,زادروز پیتر دبای دانشمند هلندی,0
1403,1,6,روز امید,0
1403,1,6,ولادت امام حسن مجتبی علیه السلام,0
1403,1,6,زادروز آشو زرتشت,0
1403,1,7,زادروز لری پیج کارآفرین و مبتکر آمریکایی,0
1403,1,7,درگذشت لودویگ فان بتهوون موسیقی‌دان برجستهٔ آلمانی,0
1403,1,8,روز جهانی تئاتر,0
1403,1,9,شب قدر,0
1403,1,9,درگذشت ویرجینیا وولف,0
1403,1,10,جشن آبانگاه,0
1403,1,10,ضربت خوردن حضرت علی علیه السلام,0
1403,1,11,درگذشت فریدریش برژیوس شیمیدان آلمانی,0
1403,1,12,روز جمهوری اسلامی,0
1403,1,12,شهادت حضرت علی علیه السلام,0
1403,1,12,برج ایفل در پاریس بطور رسمی گشایش یافت.,0
1403,1,13,جشن سیزده به در,0
1403,1,13,شب قدر,0
1403,1,13,درگذشت علی‌اکبر صنعتی نقاش و مجسمه‌ساز ایرانی,0
1403,1,14,روز جهانی کتاب کودک,0
1403,1,14,روز جهانی اطلاع‌رسانی دربارهٔ بیماری اوتیسم,0
1403,1,14,زادروز ابوالحسن صبا موسیقیدان,0
1403,1,15,درگذشت پروین اعتصامی,0
1403,1,15,درگذشت یوهانس برامس موسیقی‌دان بزرگ آلمانی,0
1403,1,16,گشایش رسمی مرکز تجارت جهانی,0
1403,1,16,درگذشت ویلهلم اوستوالد شیمیدان آلمانی,0
1403,1,17,سروش روز,0
1403,1,17,درگذشت توماسو آلبینونی آهنگساز ایتالیایی,0
1403,1,18,زاد روز هورست لودویگ اشتورمر فیزیکدان آلمانی,0
1403,1,18,زاد روز جیمز واتسون ,0
1403,1,19,روز جهانی بهداشت,0
1403,1,19,فروردین روز,0
1403,1,20,درگذشت پابلو پیکاسو  نقاش,0
1403,1,20,درگذشت اریک آکسل کارلفلدت شاعر نمادگرای سوئدی,0
1403,1,21,درگذشت فرانسوا رابله ادیب,0
1403,1,22,عید سعید فطر,0
1403,1,22,درگذشت جبران خلیل جبران نویسنده سرشناس لبنان و آمریکا,0
1403,1,22,زادروز جوزف پولیتزر روزنامه‌نگار معروف آمریکایی و بنیانگذار جایزه ادبی پولیتزر,0
1403,1,23,تعطیل به مناسبت عید سعید فطر,0
1403,1,23,روز دندانپزشک,0
1403,1,23,زادروز آدلاید لابلی گویارد نقاش فرانسوی,0
1403,1,24,زادروز یان تینبرگن اقتصاددان,0
1403,1,24,درگذشت ایگور یوگنیویچ تام فیزیکدان و ریاضی‌دان روسی,0
1403,1,25,روز بزرگداشت عطار نیشابوری,0
1403,1,25,درگذشت جان ویلر فیزیکدان آمریکایی,0
1403,1,26,کشتی مسافربر تایتانیک با ۲۲۰۰ مسافر و خدمه در حوالی کانادا غرق شد.,0
1403,1,26,درگذشت جرج فردریک هندل آهنگساز آلمانی,0
1403,1,27,زاد روز لئوناردو داوینچی دانشمند,0
1403,1,27,درگذشت میخاییل لومونسف نویسنده و دانشمند روسی,0
1403,1,28,زادروز چارلی چاپلین کمدین مشهور,0
1403,1,28,درگذشت یاسوناری کاواباتا نویسنده ژاپنی,0
1403,1,29,روز ارتش جمهوری اسلامی ایران,0
1403,1,29,درگذشت بنجامین فرانکلین ,0
1403,1,29,درگذشت هنریک کارل پیتر دام زیست‌شناس و شیمیدان برندهٔ جایزه نوبل پزشکی ۱۹۴۳ از دانمارک,0
1403,1,30,روز علوم آزمایشگاهی,0
1403,1,30,روز جهانی میراث فرهنگی,0
1403,1,31,درگذشت پی‌یر کوری فیزیکدان فرانسوی,0
1403,1,31,زادروز گلن سیبورگ دانشمند آمریکایی,0
1403,2,1,روز بزرگداشت سعدی,0
1403,2,1,درگذشت سهراب سپهری شاعر و نقاش ایرانی,0
1403,2,2,زادروز قیصر امین‌پور نویسنده,0
1403,2,2,زادروز یاور همدانی,0
1403,2,3,جشن گیاه آوری؛ روز زمین,0
1403,2,3,روزبزرگداشت شیخ بهایی؛ روزملی کارآفرینی,0
1403,2,4,آغاز به کار نخستین فرستنده عمومی رادیویی در ایران به نام «رادیو تهران»,0
1403,2,4,روز جهانی کتاب و حق نشر,0
1403,2,5,زادروز کارل اشپیتلر شاعر سوئیسی آلمانی,0
1403,2,5,درگذشت ماکس فون لائو فیزیک‌دان آلمانی,0
1403,2,6,زادروز گولیلمو مارکونی مهندس برق ایتالیایی,0
1403,2,6,زادروز جلیل ضیاءپور,0
1403,2,7,درگذشت بیورنستیرن بیورنسون نویسندهٔ نروژی,0
1403,2,7,درگذشت کارل بوش شیمی‌دان و مهندس آلمانی,0
1403,2,8,زادروز سیمین دانشور نویسنده و مترجم ایرانی,0
1403,2,8,درگذشت رالف والدو امرسون فیلسوف و نویسندهٔ آمریکایی,0
1403,2,9,روزشوراها,0
1403,2,9,روز جهانی روانشناس و مشاور,0
1403,2,10,جشن چهلم نوروز؛ روز ملی خلیج فارس,0
1403,2,10,درگذشت ذبیح‌الله صفا,0
1403,2,11,انتشار نخستین روزنامه در ایران به نام «کاغذ اخبار» توسط «میرزا صالح شیرازی»,0
1403,2,11,زادروز کارل فریدریش گاوس ریاضیدان مشهور آلمانی,0
1403,2,12,شهادت استاد مرتضی مطهری,0
1403,2,12,روزجهانی  کارگر,0
1403,2,13,درگذشت محمدرضا لطفی,0
1403,2,13,درگذشت لئوناردو داوینچی,0
1403,2,14,زادروز جرج پاجت تامسون فیزیک‌دان انگلیسی,0
1403,2,14,زادروز آلفرد کاستلر فیزیکدان فرانسوی,0
1403,2,15,جشن میانه بهار,0
1403,2,15,شهادت امام جعفر صادق علیه السلام,0
1403,2,15,زادروزخواجه عبدالله انصاری,0
1403,2,16,روز جهانی ماما,0
1403,2,16,زادروز غلامحسین بنان,0
1403,2,17,روز اسناد ملی و میراث مکتوب,0
1403,2,17,درگذشت حسین منزوی شاعر نامدار ایرانی,0
1403,2,18,رابیندرانات تاگور شاعر,0
1403,2,18,درگذشت ویلارد بویل فیزیکدان کانادایی,0
1403,2,19,روز جهانی صلیب سرخ و هلال احمر,0
1403,2,20,ولادت حضرت معصومه سلام الله علیها و روز دختران,0
1403,2,20,درگذشت آلبرت آبراهام مایکلسون فیزیک‌دان آمریکایی,0
1403,2,21,درگذشت توماس یانگ فیزیک‌دان برجستهٔ انگلیسی,0
1403,2,21,نلسون ماندلا,0
1403,2,22,زادروز مریم میرزاخانی ریاضیدان ایرانی,0
1403,2,22,زادروز فرنگیس یگانگی بنیان‌گذار و نخستین مدیرعامل سازمان صنایع دستی ایران,0
1403,2,23,روز جهانی زن در ریاضیات (به افتخار روز تولد مریم میرزاخانی),0
1403,2,24,درگذشت ژوزف هانری دانشمند و فیزیکدان سرشناس آمریکایی,0
1403,2,25,روز بزرگداشت فردوسی,0
1403,2,25,زادروز پرویز مشکاتیان آهنگساز,0
1403,2,27,روز ارتباطات و روابط عمومی,0
1403,2,28,روز بزرگداشت حکیم عمر خیام,0
1403,2,28,زادروز ادوارد جنر,0
1403,2,29,روز جهانی موزه و میراث فرهنگی,0
1403,2,29,زادروز برتراند راسل ریاضی‌دان,0
1403,2,30,ولادت امام  رضا علیه السلام,0
1403,2,30,زادروز ناتانیل هاثورن نویسنده آمریکایی,0
1403,2,30,زادروز یوهان گوتلیب فیشته فیلسوف ایدئالیست آلمانی,0
1403,2,31,زادروز جان استوارت‌میل,0
1403,2,31,درگذشت کریستف کلمب,0
1403,3,1,روز بهره وری و بهینه سازی مصرف,0
1403,3,1,روز بزرگداشت ملاصدرا,0
1403,3,2,زادروز جلیل شهناز,0
1403,3,2,درگذشت ویکتور هوگو شاعر و رمان‌نویس فرانسوی,0
1403,3,3,فتح خرمشهر در عملیات بیت المقدس و روز مقاومت,0
1403,3,3,درگذشت هنریک ایبسن شاعر,0
1403,3,4,روز دزفول,0
1403,3,5,زادروز ریموند کارور,0
1403,3,6,خرداد روز,0
1403,3,6,درگذشت هوشنگ سیحون معمار,0
1403,3,7,پل گلدن گیت,0
1403,3,7,درگذشت ارنست روسکا فیزیکدان آلمانی,0
1403,3,8,زادروز پاتریک وایت نویسنده اهل کشور استرالیا,0
1403,3,8,درگذشت ایلیا پریگوژین شیمی فیزیکدان روسی,0
1403,3,9,زادروز پیتر هیگز فیزیک‌دان انگلیسی,0
1403,3,9,درگذشت خوآن رامون خیمنس شاعر اسپانیایی,0
1403,3,10,درگذشت فرانسوا-ماری آروئه با نام مستعار وُلتر,0
1403,3,10,زادروز برایان کبیلکا شیمیدان آمریکایی,0
1403,3,11,درگذشت یوزف هایدن,0
1403,3,11,درگذشت اواریست گالوا ریاضی‌دان فرانسوی,0
1403,3,12,درگذشت هلن کلر,0
1403,3,12,درگذشت جان دیویی فیلسوف آمریکایی قرن بیستم,0
1403,3,13,زادروز توماس هاردی,0
1403,3,13,زادروز مارکی دو ساد نویسنده و فیلسوف فرانسوی,0
1403,3,14,رحلت حضرت امام خمینی,0
1403,3,14,زادروز آلن گینزبرگ شاعر آمریکایی,0
1403,3,15,قیام 15 خرداد,0
1403,3,15,درگذشت ماری کوری کاشف پولونیم و رادیوم,0
1403,3,15,درگذشت جاکومو کازانووا نویسنده ایتالیایی,0
1403,3,16,روز جهانی محیط زیست,0
1403,3,16,درگذشت شیخ بهایی دانشمند عصر صفوی,0
1403,3,17,زادروز کارل فردیناند برون مخترع,0
1403,3,17,درگذشت گرهارد هاوپتمان نمایشنامه‌نویس آلمانی,0
1403,3,18,زادروز فیلیپ لنارت فیزیکدان آلمانی مجاری‌تبار,0
