event,event_key
نوروز,جشن نوروز
شهادت امام موسی,شهادت امام موسی کاظم علیه السلام
روز جهانی شادی,روز جهانی شادی
روز جهانی شعر,روز جهانی شعر
مبعث,مبعث  رسول اکرم
روز امید,روز امید
ولادت امام حسین,ولادت سالار شهیدان
روز جانباز,ولادت ابوالفضل العباس علیه السلام و روز جانباز
ولادت امام سجاد,ولادت امام زین العابدین علیه السلام
روز جمهوری اسلامی,روز جمهوری اسلامی
جشن سیزده به در,جشن سیزده به در
روز جوان,ولادت علی اکبر علیه السلام و روز جوان
ولادت امام زمان,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان
نیمه شعبان,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان
روز ارتش,روز ارتش جمهوری اسلامی ایران
ولادت امام حسن,ولادت امام حسن مجتبی علیه السلام
شب قدر,شب قدر
روز فردوسی,روز بزرگداشت فردوسی
شهادت حضرت علی,شهادت حضرت علی علیه السلام
روز موزه,روز جهانی موزه و میراث فرهنگی
فتح خرمشهر,فتح خرمشهر در عملیات بیت المقدس و روز مقاومت
عید فطر,عید سعید فطر
رحلت امام خمینی,رحلت حضرت امام خمینی
رحلت حضرت امام خمینی,رحلت حضرت امام خمینی
قیام 15 خرداد,قیام 15 خرداد
تولد امام رضا,ولادت امام  رضا علیه السلام
ولادت امام رضا,ولادت امام  رضا علیه السلام
شهادت امام باقر,شهادت امام محمد باقر علیه السلام
روز عرفه,روز عرفه
عید قربان,عید سعید قربان
ولادت امام هادی,ولادت امام علی النقی الهادی علیه السلام
روز خبرنگار,روز خبرنگار
عید غدیر,عید سعید غدیر خم
ولادت امام موسی,ولادت امام موسی کاظم علیه السلام
روز جهانی چپ دست ها,روز جهانی چپ دست ها
روز پزشک,روز پزشک
روز کارمند,روز کارمند
تاسوعا,تاسوعای حسینی
عاشورا,عاشورای حسینی
شهادت امام حسین,عاشورای حسینی
شهادت امام سجاد,شهادت  امام زین العابدین علیه السلام
روز سینما,روز سینما
روز جهانی صلح,روز جهانی صلح
روز جهانی جهانگردی,روز جهانی جهانگردی
روزبزرگداشت مولوی,روزبزرگداشت مولوی
روز آتش نشانی,روز آتش نشانی و ایمنی
روز جهانی ناشنوایان,روز جهانی ناشنوایان
روز دامپزشکی,روز دامپزشکی
روز جهانی معلم,روز جهانی معلم
روز ملی کودک,روز ملی کودک
اربعین,اربعین حسینی
روز جهانی پست,روز جهانی پست
روز بزرگداشت حافظ,روز بزرگداشت حافظ
روز جهانی دختر,روز جهانی دختر
روز جهانی عصای سفید,روز جهانی عصای سفید
روز جهانی غذا,روز جهانی غذا
هجرت پیامبر اکرم,هجرت پیامبر اکرم از مکه به مدینه
روز ملی کوهنورد,روز ملی کوهنورد
روز نوجوان,روز نوجوان
روز دانش آموز,روز دانش آموز
میلاد پیامبر,میلاد رسول اکرم و امام جعفر صادق علیه السلام
میلاد حضرت رسول,میلاد رسول اکرم و امام جعفر صادق علیه السلام
میلاد امام صادق,میلاد رسول اکرم و امام جعفر صادق علیه السلام
میلاد امام جعفر صادق,میلاد رسول اکرم و امام جعفر صادق علیه السلام
میلاد حضرت محمد,میلاد رسول اکرم و امام جعفر صادق علیه السلام
روز جهانی دیابت,روز جهانی دیابت
روز جهانی فلسفه,روز جهانی فلسفه
روز جهانی آقایان,روز جهانی آقایان
روز جهانی کودک,روز جهانی کودک
ولادت امام حسن عسکری,ولادت امام حسن عسکری علیه السلام
روز بسیج مستضعفان,روز بسیج مستضعفان
وفات حضرت معصومه,وفات حضرت معصومه سلام الله علیها
روز نیروی دریایی,روز نیروی دریایی
روز مجلس,روز مجلس
روز جهانی ایدز,روز جهانی ایدز
روز بیمه,روز بیمه
روز جهانی معلولان,روز جهانی معلولان
روز حسابدار,روز حسابدار
روز دانشجو,روز دانشجو
روز جهانی کوه نوردی,روز جهانی کوه نوردی
روز پژوهش,روز پژوهش
شب یلدا,جشن شب یلدا
ولادت حضرت زینب,ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز
روز پرستار,ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز
کریسمس,جشن کریسمس
روز حافظ,روز حافظ
شهادت حضرت فاطمه,شهادت حضرت فاطمه زهرا سلام الله علیها
زادروز فردوسی,زادروز فردوسی
روز نیروی هوایی,روز نیروی هوایی
روز جهانی کودک,روز جهانی کودک
پیروزی انقلاب اسلامی,پیروزی انقلاب اسلامی
ولادت امام باقر,ولادت  امام محمد باقر علیه السلام
ولادت امام محمد باقر,ولادت  امام محمد باقر علیه السلام
روز ولنتاین,روز ولنتاین
روز جهانی زبان مادری,روز جهانی زبان مادری
میلاد امام محمد تقی,ولادت امام محمد تقی علیه السلام
روز پدر,ولادت امام علی علیه السلام و روز پدر
ولادت امام علی,ولادت امام علی علیه السلام و روز پدر
وفات حضرت زینب,وفات حضرت زینب سلام الله علیها
درگذشت دکتر محمد مصدق,درگذشت دکتر محمد مصدق
روز درختکاری,روز درختکاری
روزجهانی زنان,روزجهانی زنان
روز ملی شدن صنعت نفت,روز ملی شدن صنعت نفت ایران

