event,event_key
جشن نوروز,جشن نوروز
شهادت حضرت علی علیه السلام,شهادت حضرت علی علیه السلام
روز جهانی شعر,روز جهانی شعر
عیدنوروز,عیدنوروز
شب قدر,شب قدر
روز جهانی آب,روز جهانی آب
عیدنوروز,عیدنوروز
درگذشت فریدریش آوگوست فون هایک  قتصاددان و فیلسوف سیاسی، برندهٔ جایزه نوبل اقتصاد سال ۱۹۷۴,درگذشت فریدریش آوگوست فون هایک  قتصاددان و فیلسوف سیاسی، برندهٔ جایزه نوبل اقتصاد سال ۱۹۷۴
عیدنوروز,عیدنوروز
درگذشت اسماعیل ادیب خوانساری موسیقیدان ایرانی,درگذشت اسماعیل ادیب خوانساری موسیقیدان ایرانی
زادروز پیتر دبای دانشمند هلندی، برندهٔ جایزه نوبل شیمی سال ۱۹۳۶ میلادی,زادروز پیتر دبای دانشمند هلندی، برندهٔ جایزه نوبل شیمی سال ۱۹۳۶ میلادی
روز امید، روز شادباش نویسی,روز امید، روز شادباش نویسی
زادروز آشو زرتشت، اَبَراِنسان بزرگ تاریخ,زادروز آشو زرتشت، اَبَراِنسان بزرگ تاریخ
زادروز لری پیج کارآفرین و مبتکر آمریکایی، بنیانگذار شرکت گوگل مدیر عامل اجرایی گوگل,زادروز لری پیج کارآفرین و مبتکر آمریکایی، بنیانگذار شرکت گوگل مدیر عامل اجرایی گوگل
درگذشت لودویگ فان بتهوون موسیقی‌دان برجستهٔ آلمانی,درگذشت لودویگ فان بتهوون موسیقی‌دان برجستهٔ آلمانی
روز جهانی تئاتر,روز جهانی تئاتر
درگذشت ویرجینیا وولف، رمان‌نویس، مقاله‌نویس، ناشر، منتقد و فمینیست انگلیسی,درگذشت ویرجینیا وولف، رمان‌نویس، مقاله‌نویس، ناشر، منتقد و فمینیست انگلیسی
جشن آبانگاه,جشن آبانگاه
عید سعید فطر,عید سعید فطر
درگذشت فریدریش برژیوس شیمیدان آلمانی، برندهٔ جایزه نوبل شیمی سال ۱۹۳۱,درگذشت فریدریش برژیوس شیمیدان آلمانی، برندهٔ جایزه نوبل شیمی سال ۱۹۳۱
تعطیل به مناسبت عید سعید فطر,تعطیل به مناسبت عید سعید فطر
برج ایفل در پاریس بطور رسمی گشایش یافت.,برج ایفل در پاریس بطور رسمی گشایش یافت.
روز جمهوری اسلامی,روز جمهوری اسلامی
جشن سیزده به در,جشن سیزده به در
درگذشت علی‌اکبر صنعتی نقاش و مجسمه‌ساز ایرانی,درگذشت علی‌اکبر صنعتی نقاش و مجسمه‌ساز ایرانی
روز جهانی کتاب کودک,روز جهانی کتاب کودک
روز جهانی اطلاع‌رسانی دربارهٔ بیماری اوتیسم,روز جهانی اطلاع‌رسانی دربارهٔ بیماری اوتیسم
زادروز ابوالحسن صبا موسیقیدان، آهنگساز و نوازندهٔ سرشناس ایرانی,زادروز ابوالحسن صبا موسیقیدان، آهنگساز و نوازندهٔ سرشناس ایرانی
درگذشت یوهانس برامس موسیقی‌دان بزرگ آلمانی,درگذشت یوهانس برامس موسیقی‌دان بزرگ آلمانی
درگذشت پروین اعتصامی,درگذشت پروین اعتصامی
گشایش رسمی مرکز تجارت جهانی,گشایش رسمی مرکز تجارت جهانی
درگذشت ویلهلم اوستوالد شیمیدان آلمانی، برنده جایزه نوبل شیمی سال ۱۹۰۹,درگذشت ویلهلم اوستوالد شیمیدان آلمانی، برنده جایزه نوبل شیمی سال ۱۹۰۹
سروش روز،جشن سروشگان,سروش روز،جشن سروشگان
درگذشت توماسو آلبینونی آهنگساز ایتالیایی,درگذشت توماسو آلبینونی آهنگساز ایتالیایی
زاد روز هورست لودویگ اشتورمر فیزیکدان آلمانی، برندهٔ جایزه نوبل فیزیک سال ۱۹۹۸,زاد روز هورست لودویگ اشتورمر فیزیکدان آلمانی، برندهٔ جایزه نوبل فیزیک سال ۱۹۹۸
زاد روز جیمز واتسون ،زیست‌فیزیکدان و متخصّص علم ژنتیک آمریکایی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۶۲,زاد روز جیمز واتسون ،زیست‌فیزیکدان و متخصّص علم ژنتیک آمریکایی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۶۲
روز جهانی بهداشت,روز جهانی بهداشت
فروردین روز،جشن فروردینگان,فروردین روز،جشن فروردینگان
درگذشت پابلو پیکاسو  نقاش، شاعر، طراح صحنه، پیکرتراش، گراورساز و سرامیک‌کار اسپانیایی، از بنیانگذاران سبک کوبیسم,درگذشت پابلو پیکاسو  نقاش، شاعر، طراح صحنه، پیکرتراش، گراورساز و سرامیک‌کار اسپانیایی، از بنیانگذاران سبک کوبیسم
درگذشت اریک آکسل کارلفلدت شاعر نمادگرای سوئدی، برندهٔ جایزه نوبل ادبیات سال ۱۹۳۱,درگذشت اریک آکسل کارلفلدت شاعر نمادگرای سوئدی، برندهٔ جایزه نوبل ادبیات سال ۱۹۳۱
درگذشت فرانسوا رابله ادیب، پزشک و نویسنده بزرگ رنسانس فرانسه,درگذشت فرانسوا رابله ادیب، پزشک و نویسنده بزرگ رنسانس فرانسه
درگذشت جبران خلیل جبران نویسنده سرشناس لبنان و آمریکا، خالق اثر مشهور پیامبر,درگذشت جبران خلیل جبران نویسنده سرشناس لبنان و آمریکا، خالق اثر مشهور پیامبر
زادروز جوزف پولیتزر روزنامه‌نگار معروف آمریکایی و بنیانگذار جایزه ادبی پولیتزر,زادروز جوزف پولیتزر روزنامه‌نگار معروف آمریکایی و بنیانگذار جایزه ادبی پولیتزر
زادروز آدلاید لابلی گویارد نقاش فرانسوی,زادروز آدلاید لابلی گویارد نقاش فرانسوی
روز دندانپزشک,روز دندانپزشک
زادروز یان تینبرگن اقتصاددان، برنده جایزه نوبل اقتصاد سال ۱۹۶۹,زادروز یان تینبرگن اقتصاددان، برنده جایزه نوبل اقتصاد سال ۱۹۶۹
درگذشت ایگور یوگنیویچ تام فیزیکدان و ریاضی‌دان روسی، برنده جایزه نوبل فیزیک سال ۱۹۵۸,درگذشت ایگور یوگنیویچ تام فیزیکدان و ریاضی‌دان روسی، برنده جایزه نوبل فیزیک سال ۱۹۵۸
درگذشت جان ویلر فیزیکدان آمریکایی، از پیشگامان فیزیک هسته‌ای,درگذشت جان ویلر فیزیکدان آمریکایی، از پیشگامان فیزیک هسته‌ای
روز بزرگداشت عطار نیشابوری,روز بزرگداشت عطار نیشابوری
کشتی مسافربر تایتانیک با ۲۲۰۰ مسافر و خدمه در حوالی کانادا غرق شد.,کشتی مسافربر تایتانیک با ۲۲۰۰ مسافر و خدمه در حوالی کانادا غرق شد.
درگذشت جرج فردریک هندل آهنگساز آلمانی,درگذشت جرج فردریک هندل آهنگساز آلمانی
زاد روز لئوناردو داوینچی دانشمند، نقاش، مجسمه‌ساز و معمار نامدار ایتالیایی,زاد روز لئوناردو داوینچی دانشمند، نقاش، مجسمه‌ساز و معمار نامدار ایتالیایی
درگذشت میخاییل لومونسف نویسنده و دانشمند روسی,درگذشت میخاییل لومونسف نویسنده و دانشمند روسی
زادروز چارلی چاپلین کمدین مشهور، کارگردان و آهنگساز برجستهٔ هالیوود، برندهٔ جایزه اسکار,زادروز چارلی چاپلین کمدین مشهور، کارگردان و آهنگساز برجستهٔ هالیوود، برندهٔ جایزه اسکار
درگذشت یاسوناری کاواباتا نویسنده ژاپنی، برندهٔ جایزه ادبیات نوبل,درگذشت یاسوناری کاواباتا نویسنده ژاپنی، برندهٔ جایزه ادبیات نوبل
درگذشت بنجامین فرانکلین ، دانشمند، نویسنده، ناشر، روزنامه‌نگار، سیاستمدار و دیپلمات دوران انقلاب استقلال آمریکا,درگذشت بنجامین فرانکلین ، دانشمند، نویسنده، ناشر، روزنامه‌نگار، سیاستمدار و دیپلمات دوران انقلاب استقلال آمریکا
